State,Honey producing colonies,Production,Value of production
Alabama,7,294,941
Arizona,23,1058,2084
Arkansas,20,1100,1683
California,335,16080,25085
Colorado,32,1472,3150
Florida,205,9225,22878
Georgia,102,3366,8785
Hawaii,16,1280,1638
Idaho,92,2944,4916
Illinois,11,429,1849
,,,
Indiana,9,495,1955
Iowa,38,2090,4682
Kansas,7,553,1631
Kentucky,6,246,1107
Louisiana,54,3888,7932
Maine,15,525,1533
Michigan,94,4700,11092
Minnesota,118,6962,11348
Mississippi,22,1760,3256
Missouri,10,430,1428
,,,
Montana,173,14878,22019
Nebraska,39,2028,2961
New Jersey,15,420,1399
New York,59,3422,15365
North Carolina,14,588,2387
North Dakota,520,33800,47320
Ohio,15,1005,3437
Oregon,87,2784,5763
Pennsylvania,19,950,4028
South Carolina,16,752,3768
,,,
South Dakota,270,19440,29743
Tennessee,8,456,2120
Texas,126,7560,17388
Utah,22,638,1314
Vermont,6,288,1250
Virginia,5,195,1464
Washington,81,2835,6010
West Virginia,6,222,999
Wisconsin,46,2162,6464
Wyoming,39,2184,2948
,,,
Other States 5/ 6/,30,1418,8380
,,,
United States 6/ 7/,2812,156922,309136
