State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production
Alabama,8,40,320,112,5.99,1917
Arizona,26,40,1040,368,2.34,2434
Arkansas,17,50,850,255,2.07,1760
California,290,33,9570,1627,2.4,22968
Colorado,29,40,1160,232,2.78,3225
Florida,193,44,8492,849,2.42,20551
Georgia,96,34,3264,261,2.73,8911
Hawaii,15,93,1395,56,2.21,3083
Idaho,100,30,3000,270,2.37,7110
Illinois,10,46,460,115,5.83,2682
,,,,,,
Indiana,10,52,520,177,3.89,2023
Iowa,38,55,2090,502,2.46,5141
Kansas,7,42,294,144,2.74,806
Kentucky,7,37,259,73,4.6,1191
Louisiana,37,58,2146,205,2.5,5365
Maine,11,34,374,60,3.18,1189
Michigan,101,51,5151,1957,2.97,15298
Minnesota,125,57,7125,285,2.32,16530
Mississippi,25,71,1775,71,2.77,4917
Missouri,8,35,280,92,3.99,1117
,,,,,,
Montana,117,57,6669,1934,2.17,14472
Nebraska,39,47,1833,550,2.17,3978
New Jersey,15,35,525,158,3.27,1717
New York,57,53,3021,665,4.15,12537
North Carolina,13,39,507,104,6.84,3468
North Dakota,515,55,28325,2266,2.19,62032
Ohio,16,64,1024,389,3.7,3789
Oregon,86,31,2666,693,2.14,5705
Pennsylvania,20,42,840,336,3.4,2856
South Carolina,16,42,672,67,5.32,3575
,,,,,,
South Dakota,250,49,12250,5268,2.27,27808
Tennessee,8,56,448,81,5,2240
Texas,137,56,7672,384,2.3,17646
Utah,31,33,1023,92,2.18,2230
Vermont,7,47,329,76,3.28,1079
Virginia,6,40,240,79,8.23,1975
Washington,96,32,3072,1206,2.52,7741
West Virginia,6,43,258,136,4.8,1238
Wisconsin,42,47,1974,750,2.81,5547
Wyoming,38,58,2204,242,2.07,4562
,,,,,,
Other States 5/ 6/,28,48,1349,340,4.9,6610
,,,,,,
United States 6/ 7/,2696,46.9,126466,23527,2.54,321224
