State,Honey producing colonies,Production,Value of production
Alabama,10,400,2180
Arizona,34,1428,3184
Arkansas,19,874,2797
California,324,13608,30890
Colorado,25,1025,3782
Florida,147,4704,13877
Georgia,77,2541,8716
Idaho,92,2944,4799
Illinois,9,441,3109
,,,
Indiana,9,477,2070
Iowa,40,2640,7894
Kansas,5,260,1407
Kentucky,10,300,1863
Louisiana,32,1440,5616
Maine,12,216,963
Michigan,70,3850,10934
Minnesota,106,6148,12235
Mississippi,19,798,2410
Missouri,9,387,1861
,,,
Montana,114,9690,19380
Nebraska,33,1584,3580
New Jersey,15,540,3866
New York,41,2378,10915
North Carolina,11,484,2914
North Dakota,511,38325,67835
Ohio,20,1300,6799
Oregon,90,3330,9024
Pennsylvania,20,1100,5456
South Carolina,11,572,2591
,,,
South Dakota,212,18444,37257
Tennessee,12,480,2880
Texas,111,3885,11694
Utah,24,1008,1935
Vermont,6,294,1496
Virginia,5,195,1673
Washington,83,2241,6073
West Virginia,6,306,1943
Wisconsin,62,2790,8426
Wyoming,27,2106,3454
,,,
Other States 5/ 6/,46,3038,14218
,,,
United States 6/ 7/,2509,138571,349199
