,State,Honey producing colonies,Yield per colony,Production,Stockes December 15,Average price per pound,Value of production,Year,Stocks December 15
0,Alabama,7.0,42.0,294.0,44.0,3.2,941.0,2019,
1,Arizona,23.0,46.0,1058.0,201.0,1.97,2084.0,2019,
2,Arkansas,20.0,55.0,1100.0,176.0,1.53,1683.0,2019,
3,California,335.0,48.0,16080.0,3216.0,1.56,25085.0,2019,
4,Colorado,32.0,46.0,1472.0,500.0,2.14,3150.0,2019,
5,Florida,205.0,45.0,9225.0,830.0,2.48,22878.0,2019,
6,Georgia,102.0,33.0,3366.0,370.0,2.61,8785.0,2019,
7,Hawaii,16.0,80.0,1280.0,51.0,1.28,1638.0,2019,
8,Idaho,92.0,32.0,2944.0,677.0,1.67,4916.0,2019,
9,Illinois,11.0,39.0,429.0,116.0,4.31,1849.0,2019,
10,,,,,,,,2019,
11,Indiana,9.0,55.0,495.0,198.0,3.95,1955.0,2019,
12,Iowa,38.0,55.0,2090.0,1170.0,2.24,4682.0,2019,
13,Kansas,7.0,79.0,553.0,171.0,2.95,1631.0,2019,
14,Kentucky,6.0,41.0,246.0,44.0,4.5,1107.0,2019,
15,Louisiana,54.0,72.0,3888.0,428.0,2.04,7932.0,2019,
16,Maine,15.0,35.0,525.0,110.0,2.92,1533.0,2019,
17,Michigan,94.0,50.0,4700.0,1363.0,2.36,11092.0,2019,
18,Minnesota,118.0,59.0,6962.0,3063.0,1.63,11348.0,2019,
19,Mississippi,22.0,80.0,1760.0,141.0,1.85,3256.0,2019,
20,Missouri,10.0,43.0,430.0,73.0,3.32,1428.0,2019,
21,,,,,,,,2019,
22,Montana,173.0,86.0,14878.0,5802.0,1.48,22019.0,2019,
23,Nebraska,39.0,52.0,2028.0,223.0,1.46,2961.0,2019,
24,New Jersey,15.0,28.0,420.0,155.0,3.33,1399.0,2019,
25,New York,59.0,58.0,3422.0,1027.0,4.49,15365.0,2019,
26,North Carolina,14.0,42.0,588.0,118.0,4.06,2387.0,2019,
27,North Dakota,520.0,65.0,33800.0,6422.0,1.4,47320.0,2019,
28,Ohio,15.0,67.0,1005.0,442.0,3.42,3437.0,2019,
29,Oregon,87.0,32.0,2784.0,1141.0,2.07,5763.0,2019,
30,Pennsylvania,19.0,50.0,950.0,409.0,4.24,4028.0,2019,
31,South Carolina,16.0,47.0,752.0,45.0,5.01,3768.0,2019,
32,,,,,,,,2019,
33,South Dakota,270.0,72.0,19440.0,7582.0,1.53,29743.0,2019,
34,Tennessee,8.0,57.0,456.0,91.0,4.65,2120.0,2019,
35,Texas,126.0,60.0,7560.0,1814.0,2.3,17388.0,2019,
36,Utah,22.0,29.0,638.0,89.0,2.06,1314.0,2019,
37,Vermont,6.0,48.0,288.0,84.0,4.34,1250.0,2019,
38,Virginia,5.0,39.0,195.0,49.0,7.51,1464.0,2019,
39,Washington,81.0,35.0,2835.0,1191.0,2.12,6010.0,2019,
40,West Virginia,6.0,37.0,222.0,47.0,4.5,999.0,2019,
41,Wisconsin,46.0,47.0,2162.0,692.0,2.99,6464.0,2019,
42,Wyoming,39.0,56.0,2184.0,306.0,1.35,2948.0,2019,
43,,,,,,,,2019,
44,Other States 5/ 6/,30.0,47.0,1418.0,351.0,5.91,8380.0,2019,
45,,,,,,,,2019,
46,United States 6/ 7/,2812.0,55.8,156922.0,41022.0,1.97,309136.0,2019,
0,Alabama,7.0,39.0,273.0,66.0,5.43,1482.0,2020,
1,Arizona,25.0,36.0,900.0,360.0,2.18,1962.0,2020,
2,Arkansas,20.0,49.0,980.0,176.0,1.8,1764.0,2020,
3,California,320.0,43.0,13760.0,2752.0,1.78,24493.0,2020,
4,Colorado,30.0,41.0,1230.0,455.0,2.09,2571.0,2020,
5,Florida,192.0,46.0,8832.0,883.0,2.28,20137.0,2020,
6,Georgia,101.0,34.0,3434.0,412.0,2.36,8104.0,2020,
7,Hawaii,15.0,105.0,1575.0,79.0,1.61,2536.0,2020,
8,Idaho,107.0,35.0,3745.0,637.0,1.75,6554.0,2020,
9,Illinois,10.0,52.0,520.0,156.0,5.56,2891.0,2020,
10,,,,,,,,2020,
11,Indiana,9.0,55.0,495.0,149.0,4.14,2049.0,2020,
12,Iowa,35.0,58.0,2030.0,1259.0,2.59,5258.0,2020,
13,Kansas,8.0,62.0,496.0,164.0,2.93,1453.0,2020,
14,Kentucky,7.0,33.0,231.0,58.0,6.25,1444.0,2020,
15,Louisiana,33.0,69.0,2277.0,228.0,2.42,5510.0,2020,
16,Maine,10.0,30.0,300.0,78.0,3.26,978.0,2020,
17,Michigan,95.0,47.0,4465.0,1384.0,2.7,12056.0,2020,
18,Minnesota,108.0,55.0,5940.0,2495.0,1.75,10395.0,2020,
19,Mississippi,25.0,73.0,1825.0,146.0,1.94,3541.0,2020,
20,Missouri,9.0,41.0,369.0,100.0,3.31,1221.0,2020,
21,,,,,,,,2020,
22,Montana,110.0,81.0,8910.0,3208.0,1.57,13989.0,2020,
23,Nebraska,37.0,52.0,1924.0,250.0,1.71,3290.0,2020,
24,New Jersey,14.0,31.0,434.0,91.0,7.99,3468.0,2020,
25,New York,58.0,56.0,3248.0,844.0,3.39,11011.0,2020,
26,North Carolina,12.0,38.0,456.0,123.0,5.13,2339.0,2020,
27,North Dakota,495.0,78.0,38610.0,8108.0,1.6,61776.0,2020,
28,Ohio,16.0,75.0,1200.0,576.0,3.85,4620.0,2020,
29,Oregon,95.0,29.0,2755.0,1102.0,2.47,6805.0,2020,
30,Pennsylvania,19.0,48.0,912.0,392.0,4.74,4323.0,2020,
31,South Carolina,16.0,46.0,736.0,66.0,3.28,2414.0,2020,
32,,,,,,,,2020,
33,South Dakota,245.0,61.0,14945.0,8668.0,1.6,23912.0,2020,
34,Tennessee,7.0,51.0,357.0,54.0,4.39,1567.0,2020,
35,Texas,157.0,57.0,8949.0,1253.0,1.9,17003.0,2020,
36,Utah,28.0,34.0,952.0,171.0,2.07,1971.0,2020,
37,Vermont,6.0,47.0,282.0,96.0,3.76,1060.0,2020,
38,Virginia,5.0,40.0,200.0,54.0,5.44,1088.0,2020,
39,Washington,98.0,37.0,3626.0,798.0,2.54,9210.0,2020,
40,West Virginia,6.0,46.0,276.0,58.0,3.89,1074.0,2020,
41,Wisconsin,45.0,50.0,2250.0,855.0,3.26,7335.0,2020,
42,Wyoming,38.0,40.0,1520.0,608.0,1.66,2523.0,2020,
43,,,,,,,,2020,
44,Other States 5/ 6/,33.0,42.0,1375.0,303.0,4.36,5995.0,2020,
45,,,,,,,,2020,
46,United States 6/ 7/,2706.0,54.5,147594.0,39715.0,2.03,299616.0,2020,
0,Alabama,8.0,40.0,320.0,,5.99,1917.0,2021,112.0
1,Arizona,26.0,40.0,1040.0,,2.34,2434.0,2021,368.0
2,Arkansas,17.0,50.0,850.0,,2.07,1760.0,2021,255.0
3,California,290.0,33.0,9570.0,,2.4,22968.0,2021,1627.0
4,Colorado,29.0,40.0,1160.0,,2.78,3225.0,2021,232.0
5,Florida,193.0,44.0,8492.0,,2.42,20551.0,2021,849.0
6,Georgia,96.0,34.0,3264.0,,2.73,8911.0,2021,261.0
7,Hawaii,15.0,93.0,1395.0,,2.21,3083.0,2021,56.0
8,Idaho,100.0,30.0,3000.0,,2.37,7110.0,2021,270.0
9,Illinois,10.0,46.0,460.0,,5.83,2682.0,2021,115.0
10,,,,,,,,2021,
11,Indiana,10.0,52.0,520.0,,3.89,2023.0,2021,177.0
12,Iowa,38.0,55.0,2090.0,,2.46,5141.0,2021,502.0
13,Kansas,7.0,42.0,294.0,,2.74,806.0,2021,144.0
14,Kentucky,7.0,37.0,259.0,,4.6,1191.0,2021,73.0
15,Louisiana,37.0,58.0,2146.0,,2.5,5365.0,2021,205.0
16,Maine,11.0,34.0,374.0,,3.18,1189.0,2021,60.0
17,Michigan,101.0,51.0,5151.0,,2.97,15298.0,2021,1957.0
18,Minnesota,125.0,57.0,7125.0,,2.32,16530.0,2021,285.0
19,Mississippi,25.0,71.0,1775.0,,2.77,4917.0,2021,71.0
20,Missouri,8.0,35.0,280.0,,3.99,1117.0,2021,92.0
21,,,,,,,,2021,
22,Montana,117.0,57.0,6669.0,,2.17,14472.0,2021,1934.0
23,Nebraska,39.0,47.0,1833.0,,2.17,3978.0,2021,550.0
